State,Districts,Year,Season,Crop,Area,Production
Maharashtra,AHMEDNAGAR,2010,Kharif     ,Arhar/Tur,17600,11300
Maharashtra,AHMEDNAGAR,2010,Kharif     ,Bajra,196000,186800
Maharashtra,AHMEDNAGAR,2010,Kharif     ,Cotton(lint),101700,221100
Maharashtra,AHMEDNAGAR,2010,Kharif     ,Groundnut,4200,3600
Maharashtra,AHMEDNAGAR,2010,Kharif     ,Maize,45300,139500
Maharashtra,AHMEDNAGAR,2010,Kharif     ,Moong(Green Gram),15900,12400
Maharashtra,AHMEDNAGAR,2010,Kharif     ,Niger seed,1900,700
Maharashtra,AHMEDNAGAR,2010,Kharif     ,Ragi,2800,2600
Maharashtra,AHMEDNAGAR,2010,Kharif     ,Rice,7500,7000
Maharashtra,AHMEDNAGAR,2010,Kharif     ,Sesamum,500,100
Maharashtra,AHMEDNAGAR,2010,Kharif     ,Soyabean,50700,90800
Maharashtra,AHMEDNAGAR,2010,Kharif     ,Sugarcane,126000,11516400
Maharashtra,AHMEDNAGAR,2010,Kharif     ,Sunflower,8200,3400
Maharashtra,AHMEDNAGAR,2010,Kharif     ,Urad,12100,7700
Maharashtra,AHMEDNAGAR,2010,Rabi       ,Gram,115200,94000
Maharashtra,AHMEDNAGAR,2010,Rabi       ,Jowar,540000,318000
Maharashtra,AHMEDNAGAR,2010,Rabi       ,Linseed,500,100
Maharashtra,AHMEDNAGAR,2010,Rabi       ,Maize,13200,26300
Maharashtra,AHMEDNAGAR,2010,Rabi       ,Safflower,8800,5300
Maharashtra,AHMEDNAGAR,2010,Rabi       ,Sesamum,100,30
Maharashtra,AHMEDNAGAR,2010,Rabi       ,Sunflower,1000,800
Maharashtra,AHMEDNAGAR,2010,Rabi       ,Wheat,133700,248900
Maharashtra,AHMEDNAGAR,2011,Kharif     ,Arhar/Tur,12800,6400
Maharashtra,AHMEDNAGAR,2011,Kharif     ,Bajra,184700,179500
Maharashtra,AHMEDNAGAR,2011,Kharif     ,Castor seed,100,20
Maharashtra,AHMEDNAGAR,2011,Kharif     ,Cotton(lint),112000,238100
Maharashtra,AHMEDNAGAR,2011,Kharif     ,Groundnut,4500,3300
Maharashtra,AHMEDNAGAR,2011,Kharif     ,Maize,46300,125500
Maharashtra,AHMEDNAGAR,2011,Kharif     ,Moong(Green Gram),6400,1700
Maharashtra,AHMEDNAGAR,2011,Kharif     ,Niger seed,1900,700
Maharashtra,AHMEDNAGAR,2011,Kharif     ,Other Kharif pulses,6200,1100
Maharashtra,AHMEDNAGAR,2011,Kharif     ,Ragi,2800,3200
Maharashtra,AHMEDNAGAR,2011,Kharif     ,Rice,7900,7800
Maharashtra,AHMEDNAGAR,2011,Kharif     ,Sesamum,500,100
Maharashtra,AHMEDNAGAR,2011,Kharif     ,Soyabean,58600,122700
Maharashtra,AHMEDNAGAR,2011,Kharif     ,Sunflower,3200,1500
Maharashtra,AHMEDNAGAR,2011,Kharif     ,Urad,8100,7500
Maharashtra,AHMEDNAGAR,2011,Rabi       ,Gram,45300,27700
Maharashtra,AHMEDNAGAR,2011,Rabi       ,Jowar,434600,123200
Maharashtra,AHMEDNAGAR,2011,Rabi       ,Linseed,300,100
Maharashtra,AHMEDNAGAR,2011,Rabi       ,Maize,9200,22600
Maharashtra,AHMEDNAGAR,2011,Rabi       ,Other  Rabi pulses,300,300
Maharashtra,AHMEDNAGAR,2011,Rabi       ,Safflower,6700,1800
Maharashtra,AHMEDNAGAR,2011,Rabi       ,Sunflower,400,200
Maharashtra,AHMEDNAGAR,2011,Rabi       ,Wheat,48100,88700
Maharashtra,AHMEDNAGAR,2012,Kharif     ,Arhar/Tur,9500,2200
Maharashtra,AHMEDNAGAR,2012,Kharif     ,Bajra,160500,55400
Maharashtra,AHMEDNAGAR,2012,Kharif     ,Castor seed,200,20
Maharashtra,AHMEDNAGAR,2012,Kharif     ,Cotton(lint),96200,88100
Maharashtra,AHMEDNAGAR,2012,Kharif     ,Groundnut,4200,2400
Maharashtra,AHMEDNAGAR,2012,Kharif     ,Maize,45000,91900
Maharashtra,AHMEDNAGAR,2012,Kharif     ,Moong(Green Gram),5700,600
Maharashtra,AHMEDNAGAR,2012,Kharif     ,Niger seed,2000,700
Maharashtra,AHMEDNAGAR,2012,Kharif     ,Other Kharif pulses,3800,600
Maharashtra,AHMEDNAGAR,2012,Kharif     ,Ragi,2800,3100
Maharashtra,AHMEDNAGAR,2012,Kharif     ,Rice,7500,4600
Maharashtra,AHMEDNAGAR,2012,Kharif     ,Sesamum,300,100
Maharashtra,AHMEDNAGAR,2012,Kharif     ,Soyabean,56800,28100
Maharashtra,AHMEDNAGAR,2012,Kharif     ,Sunflower,1400,500
Maharashtra,AHMEDNAGAR,2012,Kharif     ,Urad,6100,1100
Maharashtra,AHMEDNAGAR,2012,Rabi       ,Gram,59400,21700
Maharashtra,AHMEDNAGAR,2012,Rabi       ,Jowar,444800,67000
Maharashtra,AHMEDNAGAR,2012,Rabi       ,Linseed,400,40
Maharashtra,AHMEDNAGAR,2012,Rabi       ,Maize,14700,24800
Maharashtra,AHMEDNAGAR,2012,Rabi       ,Other  Rabi pulses,1500,500
Maharashtra,AHMEDNAGAR,2012,Rabi       ,Safflower,1000,50
Maharashtra,AHMEDNAGAR,2012,Rabi       ,Sunflower,200,50
Maharashtra,AHMEDNAGAR,2012,Rabi       ,Wheat,38900,46100
Maharashtra,AHMEDNAGAR,2013,Kharif     ,Arhar/Tur,11000,9200
Maharashtra,AHMEDNAGAR,2013,Kharif     ,Bajra,181800,188200
Maharashtra,AHMEDNAGAR,2013,Kharif     ,Cotton(lint),104700,222400
Maharashtra,AHMEDNAGAR,2013,Kharif     ,Groundnut,4700,3700
Maharashtra,AHMEDNAGAR,2013,Kharif     ,Maize,61000,296900
Maharashtra,AHMEDNAGAR,2013,Kharif     ,Moong(Green Gram),5700,4800
Maharashtra,AHMEDNAGAR,2013,Kharif     ,Niger seed,2000,700
Maharashtra,AHMEDNAGAR,2013,Kharif     ,Other Kharif pulses,10400,3100
Maharashtra,AHMEDNAGAR,2013,Kharif     ,Ragi,2800,3600
Maharashtra,AHMEDNAGAR,2013,Kharif     ,Rice,7900,19000
Maharashtra,AHMEDNAGAR,2013,Kharif     ,Sesamum,200,100
Maharashtra,AHMEDNAGAR,2013,Kharif     ,Soyabean,65900,74500
Maharashtra,AHMEDNAGAR,2013,Kharif     ,Sunflower,1300,800
Maharashtra,AHMEDNAGAR,2013,Kharif     ,Urad,6100,3000
